,,,,,,,,,,MISSISSAUGA,,,,,
,,,,,,,,,,"6,487 ","3,188 ","42,012 ",," 2,403.53 ",31 
Division Description,Item Category Description,Retail Product Description,No.,Vendor No.,Description,Sales Unit, Cost , Sales Price ,Margin,Stock,Qty.,Amount,Sold Amount/Pcs, Profit Amount ,Gross Margin
01-FMCG,110-GROCERY,11007-RICE,25482,DEEP CANADA INC.,I/GATE RICE PREMIUM 10LB,PCS, 11.73 ,15.99,26.62%,141,456,5599.44, 12.28 ,-463.12 ,-8.27%
01-FMCG,110-GROCERY,11007-RICE,25581,DEEP CANADA INC.,I/GATE RICE SONA MASORI 20LB,PCS, 17.34 ,25.99,33.28%,23,179,3348.21, 18.71 ,-171.59 ,-5.12%
01-FMCG,110-GROCERY,11007-RICE,44176,ITN FOOD CORPORATION,ITN ELITE SUP BASMATI RICE 8LB,PCS, 7.91 ,10.99,28.07%,143,147,1182.53, 8.04 ,-132.77 ,-11.23%
01-FMCG,110-GROCERY,11007-RICE,11307,LAXMI HOUSE OF SPICE CANADA INC,AMMAS RICE SONA MASOORI 20LB,PCS, 14.14 ,25.99,45.61%,36,18,263.82, 14.66 ,-117.57 ,-44.56%
01-FMCG,110-GROCERY,11007-RICE,25479,DEEP CANADA INC.,I/GATE RICE FEAST ROZANA 10LB,PCS, 10.52 ,13.99,24.80%,254,361,3765.79, 10.43 ,-106.16 ,-2.82%
01-FMCG,110-GROCERY,11007-RICE,18260,EVEREST TRADERS INC.,ROYAL BASMATI RICE 10LB,PCS, 12.50 ,15.99,21.83%,108,73,783.27, 10.73 ,-104.10 ,-13.29%
01-FMCG,110-GROCERY,11007-RICE,14444,ITN FOOD CORPORATION,MINAR RICE CLASSIC WHITE BASMATI PLASTIC 10LB,PCS, 12.08 ,14.99,19.40%,8,481,5776.19, 12.01 ,-63.20 ,-1.09%
01-FMCG,110-GROCERY,11007-RICE,12102,ITN FOOD CORPORATION,DESI POHA THICK 4LB,PCS, 10.00 ,5.49,-82.15%,9,5,27.45, 5.49 ,-10.55 ,-38.43%
01-FMCG,110-GROCERY,11007-RICE,25579,DEEP CANADA INC.,I/G RICE PONNIBOILED 20LB,PCS, 20.00 ,18.99,-5.32%,5,4,75.96, 18.99 ,-4.04 ,-5.32%
01-FMCG,110-GROCERY,11007-RICE,10595,AMRIN ENTERPRISE LTD,ACI KALIJEERA AROM RICE 1KG,PCS, 10.00 ,7.49,-33.51%,5,6,44.94, 7.49 ,-0.96 ,-2.14%
01-FMCG,110-GROCERY,11007-RICE,41161,FROZEN TEMPTATIONS,CHENAB BASMATI RICE 1121 10LB,PCS, 14.99 ,14.99,0.00%,12,5,74.95, 14.99 , -   ,0.00%
01-FMCG,110-GROCERY,11007-RICE,23103,DEEP CANADA INC.,UDUPI UDUPI RED POHA 400GM,PCS, 1.51 ,2.49,39.44%,12,1,2.49, 2.49 , 1.09 ,43.78%
01-FMCG,110-GROCERY,11007-RICE,25689,MARINA EXPORT & IMPORT,ELMATBAKH RICE 400GM,PCS, 1.25 ,1.99,37.19%,30,2,3.98, 1.99 , 1.48 ,37.19%
01-FMCG,110-GROCERY,11007-RICE,18334,1509310 ONTARIO LIMITED,ROZANA RICE BASMATI 10LB,PCS, 10.00 ,11.99,16.60%,11,1,11.99, 11.99 , 1.99 ,16.60%
01-FMCG,110-GROCERY,11007-RICE,18630,SALEEM CARAVAN LTD.,SALEEM CARAVAN SELLA BAS 10LBS,PCS, 12.00 ,13.99,14.22%,29,1,13.99, 13.99 , 1.99 ,14.22%
